"idelem";"tipo_elem";"cod_cent";"nombre";"st_x";"st_y"
4792;495;"25026";"(TACTICO) SAN GRACIANO E-O";440375.81176486;4471759.13983698
3574;495;"50030";"(TACTICO)SAN VICENTE PAUL S-N";438483.89743182;4471011.61596641
5144;495;"58011";"CARCASTILLO SO-NE(BESOLLA-C.V.LEGANES)";437823.74878428;4470281.17464558
5148;495;"58015";"AV.ABRANTES O-E(BESOLLA-PL.VULCANO) GIRO";437861.345475055;4470038.53527593
5197;495;"81017";"P.ERMITA STO N-S(V.CARPETANA-S.AMBROSIO)";438604.310779578;4473161.66048966
7008;495;"81019";"PTE S.ISIDRO E-O(P.MELANC.-P.ERMITA STO)";438709.882382438;4473031.49704947
5350;495;"87019";"ZAFIRO O-E (ESTEFANIA-AV.ROSALES)";442703.780497215;4466918.97455073
3860;495;"02005";"(AFOROS) Dr. Esquerdo S-N - Alcalde Sainz Baranda-Ibiza";443331.351703788;4474470.23616897
3564;495;"02029";"(TACTICO) Alcalde Sainz Baranda E-O - Giro Izq. a Torrespana";443923.571284377;4474947.36379661
3582;495;"11036";"Puerto Serrano E-O - Puerto Miravete-Embajadores";441708.225160624;4470994.10384564
6057;495;"46412";"C/. Marqués de Pico Velasco 53 - Misterios-Arturo Soria";445472.451996392;4477440.10660092
6058;495;"46413";"C/. López de Aranda - Gral Aranaz-Arturo Soria";445800.493390867;4477194.48122598
6059;495;"46414";"C/. Mesena - Emilio Rubin-Navarro Amandi";444194.603544647;4479408.15258736
3609;495;"10019";"Menendez Pelayo N-S - (Pio  Baroja-Niño Jesus(Puerta Granada)";442688.86225455;4473962.4844525
4229;495;"14030";"Pº Acacias O-E - Piramides-Dr. Vallejo Nájera";439705.472625893;4472829.22196116
4227;495;"14028";"Pº Acacias E-O - Gasómetro-Pº de los Olmos";439942.23065382;4472965.8607091
4228;495;"14029";"Pº de los Olmos N-S - Ronda Toledo-Pº Acacias";439798.759610711;4473022.84836146
4381;495;"18003";"Fernández de los Rios, 71 O-E - Isaac Peral-Guzmán el Bueno";439540.908624321;4476530.59162064
4409;495;"19007";"Bravo Murillo, 25 N-S - Donoso Cortés-Fdez.de los Rios";440374.984858457;4476582.27651206
4411;495;"19009";"Luchana, 15 N-S - Palafox-Gta.  Bilbao";440669.400202085;4475929.78706996
4383;495;"18005";"(AFOROS)Alberto Aguilera O-E - Gta. Ruiz Jiménez-Vallehermoso";440162.620814433;4475906.16144863
4405;495;"19003";"Eloy Gonzalo, 27 E-O - Santisima Trinidad-Gral.Alvarez Castro";440703.732536735;4476433.87586899
4677;495;"35043";"Roberto Domingo N-S - Martínez Izquierdo-Av.Toreros";444028.805457586;4476412.59880126
5080;495;"02058";"Reina Cristina O-E - Andres Torrejon-Gutenberg";442277.603923127;4473365.01001608
3411;495;"97028";"Av.Pablo Iglesias S-N  - San Francisco de Sales-Reina Victoria";440120.058103993;4477721.67809952
7003;495;"97098";"(AFOROS)Méndez Alvaro S-N - Estrella Naos -Repsol";442149.17617348;4472382.27350753
4006;495;"08005";"(AFOROS)Jose Ortega y Gasset 45 O-E - Ppe. Vergara-Gral. Diaz Polier";442613.664632072;4475911.75551601
4679;495;"35046";"Pl.Venecia E-O - Av.Brasilia-Av.Bruselas";444001.204672257;4477109.06564241
