st_x,st_y,latitude,longitude,utm_x,utm_y
439423.7119999997,4475483.608999999,40.42778375690718,-3.7141324504149646,-413455.33311896725,4928302.775736362
439390.68200000044,4475543.52,40.42832105531586,-3.714527523426439,-413499.3124454307,4928381.349230416
439301.3730000003,4475705.5309999995,40.42977400823609,-3.7155957851009003,-413618.2307910657,4928593.8294370035
439251.22400000057,4475797.921999999,40.430602644886086,-3.7161957937471555,-413685.02344803844,4928715.011528181
439248.50400000036,4475802.942,40.43064766853076,-3.7162283385090746,-413688.6463143632,4928721.595951951
439383.965,4475782.864999999,40.4304766886278,-3.7146295276241568,-413510.66750077944,4928696.59124407
439477.7119999995,4475769.24,40.43036077494558,-3.7135230864245865,-413387.4990298506,4928679.639651919
439618.5010000002,4475749.618,40.43019424311075,-3.7118615225620584,-413202.53458675346,4928655.285548396
439733.55999999965,4475733.256999999,40.4300552000949,-3.710503594075456,-413051.3706790912,4928634.951536515
439875.69000000035,4475713.208,40.42988487504777,-3.708826195811447,-412864.64355848415,4928610.042816398
439969.7899999992,4475701.124999999,40.42978282213685,-3.7077157577744004,-412741.0301616427,4928595.118398115
439995.41899999906,4475697.832,40.42975500646258,-3.7074133201260833,-412707.36295663536,4928591.050583163
440131.628,4475680.153,40.429605560342615,-3.7058059590638996,-412528.43234167213,4928569.195338739
440314.616,4475638.211,40.42924087745628,-3.7036448759127043,-412287.86166571913,4928515.863722273
440419.51599999925,4475617.169999999,40.42905885047427,-3.702406301563474,-412149.98419985315,4928489.244009376
440458.4349999995,4475607.53,40.42897479554548,-3.7019466074058034,-412098.81128030067,4928476.951800707
440673.0639999995,4475544.897999999,40.42842591221189,-3.6994106401716462,-411816.50869912584,4928396.683376019
440866.0510000009,4475489.988,40.42794499812882,-3.6971305512484185,-411562.6903612288,4928326.355279027
440981.8909999992,4475455.444,40.42764203580101,-3.695761801381189,-411410.3218229854,4928282.050816836
441035.9410000003,4475421.9240000015,40.42734390458848,-3.6951215439779457,-411339.04869487975,4928238.453039832
441143.3340000004,4475350.442999999,40.426707574685175,-3.6938489690128,-411197.38629776344,4928145.3987894375
441350.62800000067,4475213.191,40.425485782364134,-3.691392731281206,-410923.95916421514,4927966.731407099
441429.978,4475187.769999999,40.42526236769425,-3.690455030293401,-410819.5747677364,4927934.060973085
441406.771999999,4475099.557,40.424466068342404,-3.6907204472361865,-410849.12084665516,4927817.6171950335
441355.3989999993,4474953.252000001,40.42314446257284,-3.6913125174569816,-410915.02980214794,4927624.360292567
441201.3679999997,4474531.620999999,40.419335335338346,-3.6930891516870394,-411112.8038199639,4927067.377208272
441210.88700000057,4474481.061000002,40.418880538724395,-3.6929722807504577,-411099.7938068151,4927000.8774623955
441194.06700000085,4474436.450999999,40.418477481611355,-3.693166406913575,-411121.40383244294,4926941.943372111
441166.0769999997,4474266.171000001,40.41694153763887,-3.693480561508883,-411156.37536202295,4926717.364389539
441155.0869999993,4474200.001000001,40.41634466878608,-3.693603971184964,-411170.1132643233,4926630.09423027
441151.7069999997,4474148.721000002,40.41588247434074,-3.693639064342277,-411174.0198167257,4926562.515791185
441167.8269999998,4474065.580999999,40.41513464793074,-3.6934413834760353,-411152.01408335613,4926453.175474388
441187.215999999,4473943.251,40.41403400912166,-3.693201556186661,-411125.3166316246,4926292.252375854
441211.8159999994,4473788.009999999,40.41263725892919,-3.692897281270831,-411091.44490293326,4926088.038971825
441231.81500000105,4473658.089999999,40.4114682869188,-3.692649582168923,-411063.8711650389,4925917.13138662
441254.74499999953,4473517.21,40.410200787729345,-3.6923663378843856,-411032.3405555141,4925731.822155705
441266.92400000023,4473462.320000001,40.4097071703586,-3.6922177406693177,-411015.79878919944,4925659.655909574
441289.9539999993,4473392.749,40.409082064228315,-3.6919399129462454,-410984.8711485388,4925568.266929799
441282.38399999874,4473350.069000001,40.408697047269875,-3.69202518637444,-410994.3637431436,4925511.9788192455
441296.56400000094,4473320.979,40.408435989876544,-3.6918553938643512,-410975.46252738003,4925473.813339613
441236.3240000006,4473273.37,40.40800285375875,-3.6925609130445496,-411054.0005632646,4925410.491009539
441212.8640000002,4473248.3,40.40777535416932,-3.692835066410962,-411084.5191764129,4925377.231872749
441201.38400000025,4473231.029999998,40.40761896651433,-3.6929687587454967,-411099.40173901623,4925354.368958625
441201.344,4473230.97,40.407618423178775,-3.6929692245874737,-411099.4535963079,4925354.289526396
441197.80399999954,4473225.64,40.407570157803875,-3.6930104497242167,-411104.04275753803,4925347.233435973
